Date,RR.L,IAG.L,TYT.L,SCE.L,INVP.L,HSBC.L,DGE.L,NICL.L,PNN.L,BWRA.L,AVCT.L,AZN.L,ULVR.L,PZC.L,ELCO.L,ZOO,MBT.L,VOD.L,AIG.L,WTB.L
03/01/2005,84.76,47.66,871.00,57.35,264.12,765.99,743.00,161.50,587.12,136.00,650.00,"1,889.00","1,136.67",132.30,30.50,993.77,30.00,168.37,235.00,"1,137.47"
04/01/2005,83.99,47.66,871.00,57.35,264.12,784.29,753.00,161.50,589.76,136.00,650.00,"1,910.00","1,154.00",136.50,30.50,993.77,30.00,170.40,237.00,"1,137.47"
05/01/2005,83.39,44.77,871.00,57.35,259.45,776.01,744.50,161.50,588.33,136.50,650.00,"1,913.00","1,144.44",134.00,30.50,993.77,30.00,169.20,231.00,"1,126.25"
06/01/2005,86.14,47.66,871.00,54.44,250.43,774.71,744.00,165.00,580.96,136.50,650.00,"1,938.00","1,138.89",135.70,30.50,975.02,30.00,169.20,242.50,"1,146.70"
07/01/2005,87.51,47.66,871.00,56.87,254.79,770.79,750.00,168.00,576.51,136.50,650.00,"1,938.00","1,132.22",133.60,30.50,937.52,30.00,172.18,248.75,"1,150.00"
10/01/2005,88.28,47.66,871.00,57.84,252.45,768.61,739.50,165.00,575.35,136.50,650.00,"1,932.00","1,125.56",135.00,30.50,937.52,30.00,170.99,249.50,"1,147.36"
11/01/2005,87.08,47.66,871.00,57.35,242.97,762.94,736.50,164.50,574.20,136.50,650.00,"1,933.00","1,128.89",133.10,30.50,918.77,30.00,169.80,245.75,"1,148.02"
12/01/2005,86.74,47.66,871.00,57.35,248.88,758.15,728.00,164.50,578.93,136.50,650.00,"1,924.00","1,118.89",137.00,30.00,881.27,30.00,167.42,249.00,"1,153.96"
13/01/2005,86.65,47.66,871.00,56.87,255.88,761.20,729.00,161.50,584.76,136.50,650.00,"1,920.00","1,122.22",137.30,29.50,937.52,30.00,165.99,247.00,"1,165.18"
14/01/2005,87.85,47.66,871.00,52.01,246.39,763.81,740.00,161.50,585.97,136.50,650.00,"1,893.00","1,127.78",137.30,29.50,937.52,30.00,165.99,252.50,"1,177.05"
17/01/2005,88.45,47.66,871.00,52.01,244.83,767.30,746.00,161.50,587.45,136.50,620.00,"1,897.00","1,121.11",137.60,29.50,918.77,30.00,166.23,256.50,"1,188.27"
18/01/2005,87.59,47.66,871.00,49.09,235.66,765.99,742.00,162.00,588.88,136.50,620.00,"1,882.00","1,101.11",138.10,29.50,862.52,30.00,163.60,251.00,"1,181.01"
19/01/2005,88.79,47.66,871.00,52.49,237.37,762.94,738.50,161.50,586.85,136.50,620.00,"1,887.00","1,093.33",141.60,29.50,881.27,28.00,165.39,251.25,"1,178.37"
20/01/2005,87.85,47.66,871.00,54.92,244.06,762.51,734.00,161.50,586.85,136.50,620.00,"1,879.00","1,086.22",142.50,30.50,881.27,28.00,164.80,247.75,"1,182.99"
21/01/2005,88.45,47.66,871.00,47.15,241.10,756.41,725.50,163.50,588.00,136.50,620.00,"1,878.00","1,088.89",144.00,31.50,881.27,27.50,165.03,247.50,"1,182.33"
24/01/2005,87.77,47.66,871.00,50.55,239.54,756.41,721.00,166.50,591.85,136.50,620.00,"1,861.00","1,083.33",140.70,31.50,881.27,25.50,165.03,245.00,"1,186.95"
25/01/2005,89.57,47.66,871.00,51.04,239.54,764.25,726.00,171.00,588.33,137.00,620.00,"1,892.00","1,085.11",140.80,31.50,881.27,26.50,166.58,250.50,"1,190.25"
26/01/2005,89.57,47.66,871.00,52.01,239.08,764.69,728.50,179.00,572.99,137.00,620.00,"1,902.00","1,097.11",140.90,32.50,862.52,26.50,165.99,256.25,"1,191.57"
27/01/2005,88.88,47.66,871.00,51.04,239.54,761.64,725.50,182.50,570.07,137.00,620.00,"1,980.00","1,093.33",137.20,32.50,918.77,26.50,165.39,257.50,"1,180.35"
28/01/2005,89.91,47.66,871.00,51.04,242.34,756.84,722.00,180.00,568.86,137.00,620.00,"1,995.00","1,109.56",139.50,32.50,956.27,26.50,163.25,260.00,"1,159.24"
31/01/2005,89.57,47.66,871.00,49.58,242.66,765.56,723.50,186.50,572.44,137.00,410.00,"1,990.00","1,120.00",142.00,32.50,975.02,26.50,163.25,265.75,"1,162.54"
01/02/2005,90.94,44.77,871.00,51.04,243.74,765.99,729.00,190.00,574.20,137.50,450.00,"2,026.00","1,128.89",142.50,31.50,975.02,26.50,163.01,271.00,"1,171.12"
02/02/2005,90.77,47.66,871.00,51.04,242.81,761.64,739.00,189.00,575.96,137.50,450.00,"2,070.00","1,165.11",141.50,31.50,975.02,26.50,161.82,271.25,"1,172.44"
